UID          PID    PPID  C STIME TTY          TIME CMD
root         202       2  0 14:49 ?        00:00:00 [scsi_tmf_0]
root         203       2  0 14:49 ?        00:00:00 [ttm]
root         204       2  0 14:49 ?        00:00:00 [scsi_eh_1]
root         205       2  0 14:49 ?        00:00:00 [scsi_tmf_1]
root         209       2  0 14:49 ?        00:00:02 [kworker/u64:4-events_unbound]
root         244       2  0 14:49 ?        00:00:00 [kworker/3:2-events]
root         248       2  0 14:49 ?        00:00:00 [scsi_eh_2]
root         249       2  0 14:49 ?        00:00:00 [scsi_tmf_2]
root         250       2  0 14:49 ?        00:00:01 [kworker/1:2H-kblockd]
root         254       2  0 14:49 ?        00:00:00 [kworker/2:3-rcu_par_gp]
root         289       2  0 14:49 ?        00:00:05 [jbd2/sda1-8]
root         290       2  0 14:49 ?        00:00:00 [ext4-rsv-conver]
root         515       1  0 14:49 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
message+     524       1  0 14:49 ?        00:00:03 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      540       1  0 14:49 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         550       1  0 14:49 ?        00:00:00 /lib/systemd/systemd-logind
root         559       2  0 14:49 ?        00:00:00 [irq/56-vmw_vmci]
root         560       2  0 14:49 ?        00:00:00 [irq/57-vmw_vmci]
root         573       2  0 14:49 ?        00:00:00 [rpciod]
root         575       2  0 14:49 ?        00:00:00 [xprtiod]
root         651       2  0 14:49 ?        00:00:00 [psimon]
root         690       1  0 14:49 ?        00:00:00 /usr/sbin/ModemManager
root         710       2  0 14:49 ?        00:00:00 [kworker/u65:2-hci0]
root         826       1  0 14:49 ?        00:00:00 /usr/sbin/lightdm
root         909     826  2 14:49 tty7     00:00:32 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         912       1  0 14:49 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
rtkit       1099       1  0 14:49 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1174     826  0 14:49 ?        00:00:00 lightdm --session-child 15 24
kali        1181       1  0 14:49 ?        00:00:00 /lib/systemd/systemd --user
kali        1182    1181  0 14:49 ?        00:00:00 (sd-pam)
root        1196       2  0 14:49 ?        00:00:00 [psimon]
kali        1198    1181  0 14:49 ?        00:00:00 /usr/bin/pipewire
kali        1199    1181  0 14:49 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
kali        1200    1181  0 14:49 ?        00:00:00 /usr/bin/wireplumber
kali        1201    1181  0 14:49 ?        00:00:00 /usr/bin/pipewire-pulse
kali        1203    1181  0 14:49 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        1204    1181  0 14:49 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        1229    1174  0 14:49 ?        00:00:00 xfce4-session
kali        1275    1229  0 14:49 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kali        1285    1181  0 14:49 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kali        1292    1285  0 14:49 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
